date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:28:54	50138/50138	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Nov%202017%2023:28:49%20GMT	http://codepixar.com/educare/php/index.php	C:/Mes%20Sites%20Web/MAJDI%20WEB%20UNIVERSITY/codepixar.com/educare/php/index.html	(from )
00:28:55	67/67	---M--	200	added ('OK')	text/plain	date:Mon,%2006%20Nov%202017%2023:28:50%20GMT	http://codepixar.com/robots.txt		(from )
00:28:55	867/867	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Nov%202017%2014:01:57%20GMT	http://codepixar.com/educare/php/img/logo/favicon.png	C:/Mes%20Sites%20Web/MAJDI%20WEB%20UNIVERSITY/codepixar.com/educare/php/img/logo/favicon.png	(from http://codepixar.com/educare/php/index.php)
00:28:56	31004/31004	---M--	200	added ('OK')	text/css	date:Mon,%2020%20Feb%202017%2004:40:46%20GMT	http://codepixar.com/educare/php/css/font-awesome.min.css	C:/Mes%20Sites%20Web/MAJDI%20WEB%20UNIVERSITY/codepixar.com/educare/php/css/font-awesome.min.css	(from http://codepixar.com/educare/php/index.php)
00:28:58	116420/116420	---M--	200	added ('OK')	text/css	date:Mon,%2030%20Oct%202017%2012:29:24%20GMT	http://codepixar.com/educare/php/css/materialize.css	C:/Mes%20Sites%20Web/MAJDI%20WEB%20UNIVERSITY/codepixar.com/educare/php/css/materialize.css	(from http://codepixar.com/educare/php/index.php)
00:28:58	4285/4285	---M--	200	added ('OK')	text/css	date:Mon,%2020%20Feb%202017%2004:40:46%20GMT	http://codepixar.com/educare/php/css/owl.carousel.css	C:/Mes%20Sites%20Web/MAJDI%20WEB%20UNIVERSITY/codepixar.com/educare/php/css/owl.carousel.css	(from http://codepixar.com/educare/php/index.php)
00:28:59	5579/5579	---M--	200	added ('OK')	text/css	date:Mon,%2020%20Feb%202017%2004:40:46%20GMT	http://codepixar.com/educare/php/css/et-line.css	C:/Mes%20Sites%20Web/MAJDI%20WEB%20UNIVERSITY/codepixar.com/educare/php/css/et-line.css	(from http://codepixar.com/educare/php/index.php)
00:29:01	3504/3504	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Mar%202017%2009:17:18%20GMT	http://codepixar.com/educare/php/css/slicknav.css	C:/Mes%20Sites%20Web/MAJDI%20WEB%20UNIVERSITY/codepixar.com/educare/php/css/slicknav.css	(from http://codepixar.com/educare/php/index.php)
00:29:02	121200/121200	---M--	200	added ('OK')	text/css	date:Mon,%2025%20Jul%202016%2009:53:28%20GMT	http://codepixar.com/educare/php/css/bootstrap.min.css	C:/Mes%20Sites%20Web/MAJDI%20WEB%20UNIVERSITY/codepixar.com/educare/php/css/bootstrap.min.css	(from http://codepixar.com/educare/php/index.php)
00:29:04	1992/1992	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Nov%202017%2014:01:57%20GMT	http://codepixar.com/educare/php/img/logo/logo.png	C:/Mes%20Sites%20Web/MAJDI%20WEB%20UNIVERSITY/codepixar.com/educare/php/img/logo/logo.png	(from http://codepixar.com/educare/php/index.php)
00:29:04	3149/3149	---M--	200	added ('OK')	text/css	date:Wed,%2005%20Apr%202017%2012:21:00%20GMT	http://codepixar.com/educare/php/css/flaticon.css	C:/Mes%20Sites%20Web/MAJDI%20WEB%20UNIVERSITY/codepixar.com/educare/php/css/flaticon.css	(from http://codepixar.com/educare/php/index.php)
00:29:05	52489/52489	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Nov%202017%2023:29:00%20GMT	http://codepixar.com/educare/php/02-home-college.php	C:/Mes%20Sites%20Web/MAJDI%20WEB%20UNIVERSITY/codepixar.com/educare/php/02-home-college.html	(from http://codepixar.com/educare/php/index.php)
00:29:05	48134/48134	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Nov%202017%2023:29:00%20GMT	http://codepixar.com/educare/php/03-home-online-education.php	C:/Mes%20Sites%20Web/MAJDI%20WEB%20UNIVERSITY/codepixar.com/educare/php/03-home-online-education.html	(from http://codepixar.com/educare/php/index.php)
